side,distance_bin,mean_distance,fill_probability,mean_quantity,observations
ask,"(0.049, 0.0514]",0.05073058470177208,0.18181818181818182,0.18181818181818182,44
ask,"(0.0514, 0.0531]",0.05231515566941911,0.12195121951219512,0.12195121951219512,41
ask,"(0.0531, 0.055]",0.05404926750218257,0.08695652173913043,0.10869565217391304,46
ask,"(0.055, 0.0569]",0.0559021367313798,0.15789473684210525,0.18421052631578946,38
ask,"(0.0569, 0.0585]",0.057692573318829286,0.175,0.175,40
ask,"(0.0585, 0.06]",0.05923201524658538,0.2682926829268293,0.3902439024390244,41
bid,"(0.049, 0.0514]",0.0507123044563485,0.175,0.225,40
bid,"(0.0514, 0.0531]",0.052268863425783074,0.14285714285714285,0.21428571428571427,42
bid,"(0.0531, 0.055]",0.054073601563451576,0.16216216216216217,0.1891891891891892,37
bid,"(0.055, 0.0569]",0.055886531960889316,0.13333333333333333,0.15555555555555556,45
bid,"(0.0569, 0.0585]",0.05764916094356288,0.3023255813953488,0.32558139534883723,43
bid,"(0.0585, 0.06]",0.059252424956325836,0.20930232558139536,0.32558139534883723,43
