scenario,strategy_a,strategy_b,mean_difference,lower_bound,upper_bound,probability_positive
clean,inventory,fixed,0.08503837717757597,-1.3602722495145427,1.542746247159176,0.5504
clean,inventory_volatility,inventory,-0.37344289129868435,-1.310456866421962,0.5271776446971872,0.198
clean,full_adaptive,inventory_volatility,-0.20698688501517357,-1.1520934196724684,0.7330680487220045,0.336
clean,full_risk,full_adaptive,0.0,0.0,0.0,0.0
high_volatility,inventory,fixed,-1.5698002224940384,-6.084108019845211,3.0328862580457723,0.2404
high_volatility,inventory_volatility,inventory,-0.5914147261241759,-2.9005386690172115,1.7369221531228078,0.3248
high_volatility,full_adaptive,inventory_volatility,-0.6436193160027356,-2.311417832516159,0.8735703094856754,0.2264
high_volatility,full_risk,full_adaptive,-0.6875503526864387,-1.7993744899491524,0.06174529828345552,0.0888
toxic,inventory,fixed,1.6504331396039027,-1.69064335574302,5.22233097183467,0.8308
toxic,inventory_volatility,inventory,2.190394972895646,0.36725386491837547,4.149604901570634,0.9912
toxic,full_adaptive,inventory_volatility,0.6779182419639109,-0.7144538402683599,1.9102633679545675,0.8352
toxic,full_risk,full_adaptive,0.08669193155534316,0.0,0.2600757946660295,0.6464
one_sided,inventory,fixed,0.8991697781847972,-4.1254441818166026,6.136685655644414,0.6352
one_sided,inventory_volatility,inventory,-0.22441779799708864,-1.358121827524653,0.9310267165379796,0.3576
one_sided,full_adaptive,inventory_volatility,-0.43060249784108684,-1.4805847669940924,0.5758471215256733,0.2024
one_sided,full_risk,full_adaptive,0.16977982614836312,0.0,0.5093394784450893,0.656
regime_switching,inventory,fixed,0.32045995078125783,-1.9643349589311152,2.82401963580563,0.5992
regime_switching,inventory_volatility,inventory,1.9689307695857508,0.07359445228740816,3.8786936100772587,0.9784
regime_switching,full_adaptive,inventory_volatility,-0.6177512170795338,-2.190012171276944,1.0590314246242827,0.2352
regime_switching,full_risk,full_adaptive,0.0,0.0,0.0,0.0
stress,inventory,fixed,27.402499737277964,5.2840204940534345,52.05521152064992,0.9912
stress,inventory_volatility,inventory,27.65569473852684,19.343324584420113,37.16838774559118,1.0
stress,full_adaptive,inventory_volatility,5.388621864426783,0.4418985011070295,10.868005327250897,0.9836
stress,full_risk,full_adaptive,0.5174500025499843,-1.307231154585132,2.749581521255987,0.678
