inventory_skew,order_size,mean_terminal_pnl,mean_absolute_inventory
0.0,1.0,-1.9240855879972367,16.963194444444444
0.0,4.0,-2.8268703212854693,22.483333333333334
0.0,8.0,-2.8268703212854693,22.483333333333334
0.002,1.0,1.590063099429141,9.57638888888889
0.002,4.0,1.1101576580814065,11.505555555555558
0.002,8.0,1.1101576580814065,11.505555555555558
0.004,1.0,2.1445963553376632,6.558333333333334
0.004,4.0,1.5745068657567138,7.272222222222223
0.004,8.0,1.5745068657567138,7.272222222222223
0.006,1.0,3.3326043927691145,4.889583333333333
0.006,4.0,3.5140717204686305,5.13611111111111
0.006,8.0,3.5140717204686305,5.13611111111111
